San Ramon,-2067,-3310
Pleasanton,-2055,-3305
Wyoming,324,-4325
Lake Charles,-180,-3202
Plymouth,-271,-4497
Bolingbrook,142,-4235
Pharr,-400,-2783
Appleton,122,-4444
Gastonia,563,-3634
Folsom,-2061,-3406
Southfield,507,-4271
Rochester Hills,514,-4286
New Britain,1253,-4045
Goodyear,-1335,-3246
Canton,624,-4115
Warner Robins,381,-3412
Union City,-2062,-3294
Perris,-1620,-3149
Manteca,-2023,-3339
Iowa City,-113,-4233
Jonesboro,-45,-3730
Wilmington,1017,-3943
Lynwood,-1681,-3133
Loveland,-1073,-3986
Pawtucket,1357,-4030
Boynton Beach,489,-2803
Waukesha,134,-4343
Gulfport,50,-3220
Apple Valley,-1648,-3209
Passaic,1139,-4008
Rapid City,-1014,-4314
Layton,-1565,-3880
Lafayette,225,-4124
Turlock,-1988,-3329
Muncie,330,-4098
Temple,-420,-3263
Missouri City,-303,-3134
Redlands,-1629,-3173
Santa Fe,-1020,-3573
Lauderhill,477,-2766
Milpitas,-2046,-3287
Palatine,146,-4269
Missoula,-1891,-4248
Rock Hill,569,-3602
Jacksonville,790,-3544
Franklin,204,-3732
Flagstaff,-1354,-3413
Flower Mound,-428,-3444
Weston,467,-2763
Waterloo,-175,-4299
Union City,1126,-3998
Mount Vernon,1161,-4007
