Derby UK,284,-2953
Utrecht The Netherlands,2385,-5686
Ternopil' Ternopil's'ka oblast Ukraine 46002,-3725,-1855
Radom Poland,-3841,4320
Ghent Belgium,-3756,-2508
Swansea UK,-4327,4474
Nalchik Kabardino-Balkaria Russia,-2854,1057
Syktyvkar Komi Republic Russia,-4913,-3166
Upravleniye MVD Rossii Po g. Velikiy Novgorod Otdel Politsii № 1 ул. Пестовская 2 г. В. Новгород Novgorodskaya oblast Russia 173014,5740,-848
Salford UK,344,386
Bergen Norway,-2352,3368
Aberdeenshire UK,-3345,-1502
Barnsley South Yorkshire UK,-84,920
Biysk Altai Krai Russia,-4599,-1645
Nizhnekamsk Republic of Tatarstan Russia,-99,-5049
Trieste Italy,2225,5935
Oberhausen Germany,5062,3232
Oradea Romania,-328,23
Shakhty Rostovskaya oblast Russia,2849,-1980
Tameside UK,228,408
Babrujsk Belarus,-930,-1326
Oldham UK,454,745
Blagoveshchensk Amur Oblast Russia,-17,56
Trafford UK,112,116
Aberdeen UK,-1801,-3120
Luts'k Volyns'ka oblast Ukraine 43000,2897,565
Vitoria-Gasteiz Spain,5150,2616
Southampton UK,633,-3773
Lübeck Germany,856,2688
Padua Italy,4863,-4012
Bila Tserkva Kyivs'ka oblast Ukraine 09100,-759,2745
Taranto Italy,-89,-2310
Stary Oskol Belgorodskaya oblast Russia,5414,823
Kielce Poland,-744,3522
Gliwice Poland,181,-32
Badalona Spain,2283,-2843
Bordeaux France,4025,-2632
Bacau Romania,-735,3262
Highland UK,1742,4277
Montpellier France,1715,1551
Balakovo Saratov Oblast Russia,-4888,-3922
Rochdale UK,729,1087
Zelenograd Moscow Oblast Russia,-2968,1683
Espoo Finland,-2788,1440
Charleroi Belgium,-244,-889
Toruń Poland,2364,-606
Hagen Germany,2164,5254
Bytom Poland,526,34
Novorossiysk Krasnodarskiy Kray Russia,4259,288
Debrecen Hungary,2362,-867
Solihull West Midlands UK,-1097,-5230
Rostock Germany,-3562,1791
Linz Austria,873,-5832
Santa Cruz de Tenerife Spain,1056,-643
Klaipėda Lithuania,3091,-3586
Freiburg im Breisgau Germany,-58,-4890
Pskov Pskovskaya oblast Russia,-6070,-358
Erfurt Germany,143,-4195
Gateshead Tyne and Wear UK,207,6365
Eindhoven The Netherlands,4040,-4273
Split Croatia,2164,1953
Zabrze Poland,377,-24
Saint-Étienne France,-2022,-5998
Oviedo Spain,-3361,-1575
Petropavlovsk-Kamchatsky Kamchatka Krai Russia,35,2295
Zlatoust Chelyabinskaya oblast Russia,6232,-96
Rennes France,557,5295
Milton Keynes UK,4536,-4286
Yakutsk Sakha Republic Russia,2737,3625
Kassel Germany,-5509,-303
Móstoles Spain,-2362,2089
Banja Luka Bosnia and Herzegovina,-428,-4479
Le Havre France,-4414,-478
Liège Belgium,1743,-1479
Burgas Bulgaria,4402,-4572
Podolsk Moscow Oblast Russia,-5703,856
North Tyneside UK,-540,6342
Calderdale UK,862,1908
Northampton UK,3628,-4598
Tampere Finland,-1224,6070
Tilburg The Netherlands,2213,-5762
Elche Spain,2632,-2195
Portsmouth UK,1562,-2947
Kamensk-Uralsky Sverdlovskaya oblast Russia,-462,612
Brescia Italy,-4446,-4561
Engel's Saratov Oblast Russia,-3169,5048
Warrington WA1 UK,-60,-38
Uppsala Sweden,-376,998
Kramators'k Donets'ka oblast Ukraine 84314,-6322,728
Piteşti Romania,4732,-1284
Syzran Samarskaya oblast Russia,-342,-1477
Sabadell Spain,2117,-3560
North Somerset UK,-5417,-2283
Arad Romania,-4068,3252
Novocherkassk Rostovskaya oblast Russia,1441,-1321
Saarbrücken Germany,-4117,-3565
Odense Denmark,3243,4810
Mainz Germany,657,-1584
Berezniki Perm Krai Russia,1790,482
Santander Spain,2494,-1961
Piraeus Greece,125,-1582
Jerez de la Frontera Spain,-5346,-786
Bury UK,790,889
